carId	trackId	trackLength	lapIndex	lapNum	lapFlag	binIndex	validBin	lap_number	lap_distance	lap_time	lap_time_invalid	world_position_X	world_position_Y	world_position_Z	world_forward_X	world_forward_Y	world_forward_Z	world_right_X	world_right_Y	world_right_Z	velocity_X	velocity_Y	velocity_Z	gforce_X	gforce_Y	gforce_Z	pit_status	race_position	flags_status	throttle	brake	clutch	steering	gear	rpm	rpm_perc	fuel	tyre_compound_0	tyre_compound_1	tyre_compound_2	tyre_compound_3	yaw	pitch	roll	chassis_yaw	chassis_pitch	susp_pos_0	susp_pos_1	susp_pos_2	susp_pos_3	susp_vel_0	susp_vel_1	susp_vel_2	susp_vel_3	susp_acc_0	susp_acc_1	susp_acc_2	susp_acc_3	susp_roll_0	susp_roll_1	wheel_speed_0	wheel_speed_1	wheel_speed_2	wheel_speed_3	wheel_slip_ratio_0	wheel_slip_ratio_1	wheel_slip_ratio_2	wheel_slip_ratio_3	wheel_slip_angle_0	wheel_slip_angle_1	wheel_slip_angle_2	wheel_slip_angle_3	wheel_angle_0	wheel_angle_1	wheel_angle_2	wheel_angle_3	wheel_lat_force_0	wheel_lat_force_1	wheel_lat_force_2	wheel_lat_force_3	wheel_long_force_0	wheel_long_force_1	wheel_long_force_2	wheel_long_force_3	wheel_vert_force_0	wheel_vert_force_1	wheel_vert_force_2	wheel_vert_force_3	wheel_camber_0	wheel_camber_1	wheel_camber_2	wheel_camber_3	wheel_camber_gain_0	wheel_camber_gain_1	wheel_camber_gain_2	wheel_camber_gain_3	cog_height	angular_vel_X	angular_vel_Y	angular_vel_Z	angular_acc_X	angular_acc_Y	angular_acc_Z	aero_height_0	aero_height_1	weather	track_temp	air_temp	pitSpeedLimit	safetyCarStatus	networkGame	pitIdealLap	pitLatestLap	pitRejoinPos	steeringAssist	brakeAssist	gearAssist	pitAssist	pitReleaseAssist	ersAssist	drsAssist	racingLineAssist	racingLineTypeAssist	gameMode	ruleSet	timeOfDay	sessionLength	num_sc	num_vsc	num_red	eqCarPerf	recoveryMD	flashbackLimit	surfaceType	lowFuelMD	raceStartMD	tyreTempMD	pitTyreMD	carDamageMD	carDamageRate	collisionsMD	collisions1MD	unsafeRelMD	offGriefingMD	cornerCutMD	safetyCarMD	formLapMD	redFlagsMD	activeAeroMD	startReactionTime	absAssist	tractionCtrlAssist	safetyCarDelta	penalties	warnings	corner_cut_warnings	startGridPosition	pitLaneTime	pitStopTime	delta_front	delta_leader	speedTrapMax	speedTrapLap	techLevel	platform	wing_setup_0	wing_setup_1	diff_onThrottle_setup	diff_offThrottle_setup	camber_setup_0	camber_setup_1	camber_setup_2	camber_setup_3	toe_setup_0	toe_setup_1	toe_setup_2	toe_setup_3	susp_spring_setup_0	susp_spring_setup_1	susp_spring_setup_2	susp_spring_setup_3	arb_setup_0	arb_setup_1	susp_height_setup_0	susp_height_setup_1	susp_height_setup_2	susp_height_setup_3	brake_press_setup	brake_bias_setup	brake_engine_setup	tyre_press_setup_0	tyre_press_setup_1	tyre_press_setup_2	tyre_press_setup_3	ballast_setup	fuel_setup	drs	brake_temp_0	brake_temp_1	brake_temp_2	brake_temp_3	tyre_temp_0	tyre_temp_1	tyre_temp_2	tyre_temp_3	tyre_tempInternalAir_0	tyre_tempInternalAir_1	tyre_tempInternalAir_2	tyre_tempInternalAir_3	tyre_press_0	tyre_press_1	tyre_press_2	tyre_press_3	terrain_0	terrain_1	terrain_2	terrain_3	engine_temp	suggested_gear	traction_ctrl_setup	abs_setup	fuel_type	fuel_remainingLaps	front_brake_bias	pit_limiter	drs_allowed	drs_distance	tyres_age	ice_power	mguk_power	ers_store	ers_deployMode	ers_harv_mguk	ers_harv_mguh	ers_harv_limit	ers_deployed	tyre_wear_0	tyre_wear_1	tyre_wear_2	tyre_wear_3	tyre_damage_0	tyre_damage_1	tyre_damage_2	tyre_damage_3	tyre_blister_0	tyre_blister_1	tyre_blister_2	tyre_blister_3	brake_damage_0	brake_damage_1	brake_damage_2	brake_damage_3	front_left_wing_damage	front_right_wing_damage	rear_wing_damage	floor_damage	diffuser_damage	sidepod_damage	drs_damage	ers_damage	gear_box_damage	engine_damage	mguh_damage	es_damage	ce_damage	ice_damage	mguk_damage	tc_damage	engine_blown	engine_seized	activeAero_mode	activeAero_allowed	activeAero_distance	overtake_allowed	overtake	overtake_distance	regulations_2026	driving_wrong_way
Aston Martin '26	Melbourne	5276	0	0	0	0	1	0	0.807482	0.016	0	115.954	464.17	2.96496	0.723441	-0.690176	-0.0147099	-0.689627	-0.723502	0.0307016	41.5296	-0.0355334	-0.351245	0.015	-0.165	0.016	0	0	0	0.207927	0	0	0.0119938	4	9346	0.71349	10	16	16	16	16	-2.33267	0.0147223	-0.0307206	0.00111485	0.00781496	0.478439	0.47242	0.200446	0.189599	4.03313	-3.44628	7.0826	1.24058	198.442	-302.674	283.697	297.929	0.000393637	0.000739318	41.5541	41.4958	41.6533	41.6533	-9.46184e-05	-8.7274e-05	0.00232997	0.00366997	0.00238517	0.00358464	0.00542733	-0.000822213	0.00408197	0.00408197	0	0	-469.236	-238.627	-1062.52	290.104	-15.365	-12.9386	360.471	538.45	2531.61	2220.63	3112.44	2830.83	-0.052869	-0.0515897	-0.0388556	-0.0383549	-0.000508998	0.000770342	-0.00394557	-0.00344488	0.259541	-0.00603326	-0.00407101	-0.0380203	0.234785	-0.192091	-0.00890656	0.0273173	0.0458385	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	316	348	300	301	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348754	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	1	1	0	1.84992	0.041	0	117.457	462.733	2.95192	0.722115	-0.691566	-0.0149846	-0.691001	-0.722176	0.0305949	41.522	-0.0352498	-0.365645	0.014501	-0.163511	0.0140009	0	0	0	0.208258	0	0	0.0119903	4	9344.5	0.713375	10	16	16	16	16	-2.3346	0.0150036	-0.0306201	0.00111794	0.00795866	0.479588	0.472208	0.199218	0.189202	7.28308	-1.04331	2.00931	-6.92868	212.771	-152.943	-66.9025	-63.6744	0.000482674	0.000682585	41.547	41.4885	41.6484	41.6484	-9.44731e-05	-8.24403e-05	0.00237827	0.00372584	0.00234128	0.00354092	0.00541224	-0.000841063	0.00408079	0.00408079	0	0	-475.106	-230.867	-1052.54	288.74	-15.7515	-12.3399	363.202	539.6	2610.21	2235.84	3049.53	2769.17	-0.0528606	-0.0515981	-0.0388362	-0.0384038	-0.000500567	0.000761859	-0.00392617	-0.00349383	0.259708	0.00164725	-0.008401	-0.0393977	0.277295	-0.680435	-0.0175985	0.0272382	0.0461	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	315.5	347.5	299	300	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348667	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	2	1	0	2.89237	0.066	0	118.96	461.297	2.93887	0.720786	-0.692953	-0.0152593	-0.692373	-0.720847	0.030488	41.5144	-0.0349662	-0.380046	0.014	-0.162	0.012	0	0	0	0.208589	0	0	0.0119869	4	9343	0.713261	10	16	16	16	16	-2.33652	0.015285	-0.0305196	0.00112104	0.00810236	0.480737	0.471996	0.197989	0.188806	10.533	1.35966	-3.06398	-15.0979	227.099	-3.21123	-417.502	-425.278	0.00057171	0.000625852	41.5399	41.4812	41.6435	41.6435	-9.43278e-05	-7.76066e-05	0.00242656	0.00378172	0.0022974	0.00349719	0.00539716	-0.000859914	0.00407961	0.00407961	0	0	-480.975	-223.108	-1042.56	287.376	-16.1381	-11.7412	365.934	540.75	2688.8	2251.04	2986.62	2707.51	-0.0528521	-0.0516066	-0.0388168	-0.0384528	-0.000492137	0.000753377	-0.00390677	-0.00354279	0.259875	0.00925273	-0.0123483	-0.0389807	0.30249	-1.12629	-0.0251915	0.0271592	0.0463616	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	315	347	298	299	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348581	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	3	1	0	3.93187	0.091	0	119.709	460.578	2.93256	0.720115	-0.693656	-0.0148778	-0.693091	-0.720176	0.0299234	41.5111	-0.0364478	-0.3645	0.0130675	-0.162338	-0.00452336	0	0	0	0.209418	0	0	0.0119863	4	9342	0.713184	10	16	16	16	16	-2.33748	0.0148921	-0.0299498	0.00114059	0.0079417	0.479418	0.471634	0.194858	0.19122	-1.52618	-0.580922	-5.30507	0.842214	111.846	-29.5811	55.6343	-208.368	0.000509097	0.000247906	41.5358	41.4771	41.639	41.639	-9.59253e-05	-8.79719e-05	0.00241133	0.00376296	0.00234033	0.00354607	0.00541408	-0.00082339	0.00407942	0.00407942	0	0	-467.795	-231.828	-1046.01	287.272	-15.7714	-13.0834	363.437	548.531	2542.42	2184.55	2970.63	2813.01	-0.052843	-0.0516072	-0.0386769	-0.0384405	-0.000483023	0.000752823	-0.00376692	-0.00353049	0.260005	0.00133596	-0.0116183	-0.0392413	-1.21914	0.218166	0.0458094	0.0274827	0.0463044	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	314.5	346.5	297.5	298.5	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348503	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	4	1	0	4.97138	0.116	0	120.457	459.858	2.92626	0.719443	-0.694357	-0.0144963	-0.693808	-0.719504	0.0293588	41.5078	-0.0379293	-0.348953	0.012	-0.161	-0.021	0	0	0	0.210246	0	0	0.0119857	4	9341	0.713108	10	16	16	16	16	-2.33844	0.0144991	-0.02938	0.00116014	0.00778104	0.478099	0.471272	0.191726	0.193634	-13.5854	-2.5215	-7.54617	16.7824	-3.40645	-55.9509	528.771	8.54279	0.000446485	-0.000130039	41.5318	41.4731	41.6345	41.6345	-9.75228e-05	-9.83372e-05	0.00239609	0.0037442	0.00238327	0.00359495	0.00543101	-0.000786867	0.00407922	0.00407922	0	0	-454.616	-240.549	-1049.46	287.168	-15.4047	-14.4256	360.94	556.311	2396.04	2118.06	2954.64	2918.51	-0.0528339	-0.0516077	-0.0385371	-0.0384282	-0.000473909	0.00075227	-0.00362706	-0.00351819	0.260134	-0.00663171	-0.0104457	-0.0380068	-0.580918	1.17611	0.0356535	0.0278063	0.0462472	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	314	346	297	298	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348426	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	5	1	0	5.6643	0.132667	0	120.955	459.378	2.92214	0.719006	-0.694815	-0.014303	-0.694276	-0.719067	0.0294097	41.5063	-0.0371931	-0.348443	0.0110974	-0.168542	0.0131782	0	0	0	0.211461	0	0	0.0119855	4	9341	0.713108	10	16	16	16	16	-2.33908	0.0143082	-0.0294277	0.0011425	0.00778316	0.479347	0.471458	0.195557	0.193612	-4.67136	-1.60068	8.50301	11.2001	41.5116	-1.26511	649.246	93.8594	0.000515987	0.000132586	41.5304	41.4716	41.634	41.634	-0.000101107	-9.70338e-05	0.00241737	0.0037696	0.00234759	0.00355764	0.00541655	-0.000814684	0.00407916	0.00407916	0	0	-462.837	-233.111	-1053.09	293.71	-16.467	-14.4411	369.01	561.271	2512.44	2164.32	3058.7	2919.23	-0.0528369	-0.0516073	-0.0385957	-0.0384742	-0.000476945	0.00075269	-0.00368569	-0.00356424	0.259967	-0.000835558	-0.0165865	-0.0395624	0.370457	1.48166	0.0315408	0.0274563	0.0459022	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	313.667	345.667	296.667	297.667	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348418	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	6	1	0	6.35722	0.149333	0	121.453	458.898	2.91802	0.718569	-0.695273	-0.0141097	-0.694744	-0.71863	0.0294605	41.5048	-0.0364568	-0.347934	0.00968087	-0.16907	0.0480586	0	0	0	0.212675	0	0	0.0119853	4	9341	0.713108	10	16	16	16	16	-2.33971	0.0141173	-0.0294754	0.00112486	0.00778528	0.480595	0.471643	0.199388	0.19359	4.24266	-0.679865	24.5522	5.61781	86.4297	53.4207	769.722	179.176	0.000585489	0.000395212	41.529	41.47	41.6335	41.6335	-0.000104691	-9.57303e-05	0.00243864	0.00379499	0.00231192	0.00352033	0.00540209	-0.000842502	0.00407909	0.00407909	0	0	-471.059	-225.673	-1056.73	300.253	-17.5292	-14.4565	377.079	566.23	2628.83	2210.58	3162.75	2919.95	-0.05284	-0.0516069	-0.0386543	-0.0385203	-0.000479981	0.00075311	-0.00374432	-0.00361029	0.259799	0.00515475	-0.0222974	-0.0397226	1.43622	-0.98663	-0.0414233	0.0271063	0.0455572	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	313.333	345.333	296.333	297.333	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348410	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	7	1	0	7.05015	0.166	0	121.951	458.417	2.9139	0.718131	-0.69573	-0.0139164	-0.695212	-0.718192	0.0295114	41.5034	-0.0357205	-0.347424	0.008	-0.164	0.08	0	0	0	0.21389	0	0	0.0119851	4	9341	0.713108	10	16	16	16	16	-2.34035	0.0139263	-0.0295231	0.00110722	0.0077874	0.481844	0.471829	0.203219	0.193567	13.1567	0.240952	40.6014	0.0355393	131.348	108.106	890.198	264.493	0.000654991	0.000657837	41.5276	41.4685	41.633	41.633	-0.000108275	-9.44269e-05	0.00245992	0.00382039	0.00227625	0.00348302	0.00538763	-0.000870319	0.00407902	0.00407902	0	0	-479.28	-218.235	-1060.37	306.795	-18.5915	-14.472	385.148	571.189	2745.23	2256.83	3266.81	2920.67	-0.052843	-0.0516065	-0.038713	-0.0385663	-0.000483017	0.000753529	-0.00380295	-0.00365634	0.259632	0.0108355	-0.0273042	-0.0389433	1.41054	-1.35751	-0.050132	0.0267563	0.0452122	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	313	345	296	297	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348402	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	8	1	0	8.09091	0.191	0	122.697	457.694	2.90854	0.717475	-0.696418	-0.0134739	-0.695914	-0.717521	0.0289621	41.5017	-0.0365175	-0.342633	0.00658105	-0.166045	0.0521422	0	0	0	0.214724	0	0	0.011985	4	9341	0.713108	10	16	16	16	16	-2.34131	0.0134905	-0.0289834	0.00111878	0.00759466	0.480344	0.471976	0.202216	0.19823	1.36133	-4.37323	18.6782	12.5838	28.2552	-231.705	668.126	309.535	0.000547276	0.000271647	41.5257	41.4668	41.632	41.632	-0.000108502	-0.000101819	0.00248106	0.00383525	0.00232839	0.00354773	0.00543617	-0.000856211	0.00407898	0.00407898	0	0	-468.427	-231.379	-1067.34	307.458	-17.9384	-15.1292	385.797	579.029	2594.62	2194.9	3180.21	2995.24	-0.0528371	-0.0515941	-0.0388474	-0.0386967	-0.000477083	0.000765851	-0.00393737	-0.00378674	0.259133	0.00187519	-0.0172964	-0.0403724	1.63922	-0.10659	-0.0463412	0.0270781	0.0450772	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	312.5	344.5	296	296.5	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348384	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
Aston Martin '26	Melbourne	5276	0	0	0	9	1	0	9.13167	0.216	0	123.443	456.971	2.90317	0.716819	-0.697104	-0.0130314	-0.696616	-0.716849	0.0284127	41.5001	-0.0373145	-0.337842	0.005	-0.164	0.023	0	0	0	0.215557	0	0	0.0119849	4	9341	0.713108	10	16	16	16	16	-2.34227	0.0130547	-0.0284436	0.00113034	0.00740193	0.478844	0.472123	0.201213	0.202894	-10.434	-8.98741	-3.24499	25.1321	-74.8373	-571.516	446.054	354.577	0.00043956	-0.000114543	41.5238	41.4652	41.6309	41.6309	-0.00010873	-0.000109211	0.0025022	0.00385012	0.00238052	0.00361244	0.00548471	-0.000842104	0.00407893	0.00407893	0	0	-457.575	-244.523	-1074.31	308.12	-17.2852	-15.7864	386.446	586.869	2444.02	2132.96	3093.62	3069.81	-0.0528311	-0.0515818	-0.0389818	-0.0388271	-0.000471149	0.000778172	-0.0040718	-0.00391715	0.258634	-0.00725977	-0.00567813	-0.0380422	-0.327902	1.28711	0.0195256	0.0273998	0.0449422	0	28	20	22.2222	0	0	-1	-1	-1	0	0	2	0	0	0	0	2	1	5	2	731	0	0	0	0	1	1	3	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	-1	0	3	25	25	0.6	0.5	-0.0610865	-0.0610865	-0.0349066	-0.0349066	0.000698132	0.000698132	0.00261799	0.00261799	37	37	16	16	15	8	25	25	52	52	0.97	0.57	0.5	166853	166853	146858	146858	6	10	0	312	344	296	296	89	89	89	89	89	89	89	89	171105	171105	150601	150601	0	0	0	0	110	0	0	0	1	7.61538	0.57	0	0	0	0	348365	0	4e+06	2	0	0	6e+06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0
